WGSN-ID,Name,HIP,RA2000,DE2000,Vmag,type,HR,HD,Bayer/other,constellation,distance from Sun/ ly,B-V color,VmagMax,VmagMin,WDS
10023,Bubup,HIP 26380,75.61722689,-73.69934589,6.696,F9.5V,,38283,,Mensa,123.2219251,0.564,,,
10024,Naledi,,87.139974,-63.988441,10.21,,,_,WASP-62,Dorado,,0.52,,,_
10025,Amadioha,HIP 29550,90.22657265,-29.89726433,8.98,G8 V,,43197,,CanisMajor,183.6261015,0.817,,,
10026,Lucilinburhuc,HIP 30860,90.47936419,38.96296292,7.885,G5 V,,45350,,Auriga,159.6535958,0.745,,,
10027,Lusitânia,HIP 30905,90.48699778,10.93389053,8.127,G8-K0,,45652,,Monoceros,117.8729489,0.836,,,
10028,Nosaxa,HIP 31895,90.6671464,-48.54195647,8.05,G5 V,,48265,,Puppis,285.0933913,0.747,,,
10029,Nervia,HIP 32916,90.85847673,40.86775669,8.1,G5 V,,49674,,Auriga,132.843533,0.73,,,
10030,Kosjenka,,94.33645207,-38.32326502,11.15,G8,,,WASP-63,Columba,,0.59,,,
10031,Geminga,,98.475638,17.770253,,PSR,,,PSR B0633+17,Gemini,,,,,
10032,Atakoraka,,101.115022,-32.858383,G12.53,,,_,WASP-64,CanisMajor,,,,,_
10033,Ceibo,HIP 37284,105.6560703,-78.27897439,9.37,K4 V,,63454,,Chamaeleon,116.7640289,1.006,,,
10034,Tapecue,HIP 38041,105.7971444,-54.26414469,8.104,G6 IV/V,,63765,,Carina,106.3922505,0.745,,,
10035,Dilmun,,107.6002519,-39.0973809,10.51,F6V,,,WASP-121,Puppis,,0.49,,,
10036,Tevel,,110.168568,37.140651,12.34,F,,_,HAT-P-9,Auriga,,0.01,,,_
10037,Koit,,110.388168,58.268087,10.78,,,_,XO-4,Lynx,,,,,_
10038,Absolutno,,116.716506,39.094572,12.1,,,_,XO-5,Lynx,,,,,_
10039,Kaewkosin,,119.7743314,15.39145446,G11.36,M2.0V,,,GJ 3470,Cancer,,,,,
10040,Násti,HIP 40687,120.3061591,61.46072083,8.2,G2 V,,68988,,UrsaMajor,191.8452467,0.625,,,
10041,Gakyid,HIP 42446,120.6543898,12.96037414,8.23,G5 IV,,73534,,Cancer,264.186761,0.962,,,
10042,Stribor,HIP 43674,120.8974459,33.05681128,8.03,G0 V,,75898,,Lynx,262.8169032,0.626,,,
10043,Maru,,121.7239736,-66.30463919,13.7,DQ,,,WD 0806-661,Volans,,0.06,,,
10044,Tislit,,126.337846,-11.500986,11.08,F6,,_,WASP-161,Puppis,,0.57,,,_
10045,Lerna,,135.344371,6.097227,12.17,,,_,HAT-P-42,Hydra,,0.66,,,_
10046,Illyrian,HIP 47087,135.5958845,34.78074203,7.78,G0,,82886,,LeoMinor,366.0454363,0.864,,,
10047,Kalausi,HIP 47202,135.6199521,-43.27220383,8.222,K0/1 V + G (III),,83443,,Vela,141.9759285,0.831,,,
10048,Natasha,HIP 48235,135.8340268,-49.79026644,8.526,K1 V,,85390,,Vela,110.7627524,0.846,,,
10049,Bibhā,HIP 48711,135.9349774,-3.808423861,8.73,F8 V,,86081,,Sextans,297.3242672,0.664,,,
10050,Gloas,,140.102977,33.882417,10.42,G1V,,_,WASP-13,Lynx,,0.79,,,_
10051,Filetdor,,144.8753588,-20.98246702,9.35,F9V,,,WASP-166,Hydra,,0.59,,,
10052,Añañuca,HIP 47780,146.1243199,-45.77650768,9.979,M1V,,,GJ 367,Vela,,1.393,,,
10053,Wattle,,148.4169857,-45.65918255,12.31,G8V,,,WASP-19,Vela,,0.74,,,
10054,Macondo,HIP 52521,150.7391431,-33.57702442,8.3,K3 V,,93083,,Antlia,94.25923646,0.945,,,
10055,Gnomon,,154.9083704,-9.806279389,12.49,K7V,,,WASP-43,Sextans,,1.292,,,
10056,Aiolos,HIP 53524,164.2625899,-68.667347,7.36,A8III,,95086,,Carina,,0.42,,,
10057,Dingolay,HIP 54158,165.0790152,-2.513219472,8.37,G6 V,,96063,,Leo,433.1358361,0.86,,,
10058,Hunahpú,HIP 55174,165.2965425,-23.97541581,8.21,K0 III/IV,,98219,,Crater,490.4741494,0.96,,,
10059,Amansinaya,,165.399575,-23.860662,10.28,,,_,WASP-34,Crater,,0.77,,,_
10060,Shama,HIP 55664,165.4048218,-1.529074111,9.1,G8/K0 IV,,99109,,Leo,197.1942279,0.87,,,
10061,Sagarmatha,HIP 56572,165.5976453,-4.755695722,8.418,G8 V,,100777,,Leo,172.210641,0.777,,,
