tyc	hip	hd	gl	gaia_source_id	reason
9149-110-1	7912			4638517336257869952	refused_no_defensible_parallax
9197-2129-1		311321		5269752424962793216	refused_no_defensible_parallax
9213-2713-1	48400			5242738283265638656	refused_no_defensible_parallax
9226-747-1		310980		5235639904946845696	refused_no_defensible_parallax
9262-532-1		133184		5799041585831246592	refused_no_defensible_parallax
9407-578-1	44949			5195832223867865088	refused_no_defensible_parallax
9416-531-1		108270		5836837401100512640	refused_no_defensible_parallax
9433-779-1		138501		5779437156054630144	refused_no_defensible_parallax
9464-1175-1		190654		6361896259680363776	refused_no_defensible_parallax
9468-437-1		190378		6361577023350937472	refused_no_defensible_parallax
