gaia_source_id	label	field	spine	overlay	applied	disposition
1222646935698492160	Alphecca / HIP 76267 / HD 139006	gl		GJ 9524	GJ 9524	added
1230894097540611968	HIP 68030 / HD 121560	gl		GJ 11999	GJ 11999	added
1265702917689682944	HIP 72875 / HD 131582	gl		GJ 9500	GJ 9500	added
1413099460779606528	HIP 81563	gl		GJ 12390	GJ 12390	added
1416124285987232256	HIP 84616 / HD 156985	gl		GJ 12477A	GJ 12477A	added
1429437378934511616	HIP 79796	gl	Gl 616.2	GJ 9552	GJ 9552	overlay-wins
1469230212276302080	HIP 66193 / HD 118096	gl		GJ 9451	GJ 9451	added
1527631807474248448	HIP 63406 / HD 112914	gl		GJ 11879	GJ 11879	added
154660191781205120	HIP 21988 / HD 29883	gl	Gl 176.2	GJ 9166	GJ 9166	overlay-wins
1562668432688194688	HIP 66781 / HD 119332	gl		GJ 11967	GJ 11967	added
1565867461768654208	HIP 65515 / HD 116956	gl		GJ 11930	GJ 11930	added
1569335115284976000	HIP 61053 / HD 108954	gl		GJ 11799	GJ 11799	added
1603267143629157120	HIP 76315 / HD 139477	gl		GJ 12249A	GJ 12249A	added
1661568850770761600	HIP 68184 / HD 122064	gl		GJ 12002	GJ 12002	added
170639948323693952	HIP 19337 / HD 281621	gl		GJ 162	GJ 162	added
1720995598827435648	HIP 75809 / HD 139777	gl		GJ 12230A	GJ 12230A	added
1720995598827436928	HIP 75829 / HD 139813	gl		GJ 12231B	GJ 12231B	added
1745568309317609088	HIP 105533	gl		GJ 13082	GJ 13082	added
177391907491420032	HIP 20222	gl		GJ 10596	GJ 10596	added
177425034575534464	HIP 19930 / HD 26900	gl		GJ 10588	GJ 10588	added
1781003885454165888	HIP 108028 / HD 208038	gl		GJ 13160	GJ 13160	added
1807953155988203264	HIP 98677 / HD 190067	gl	Gl 775.1	GJ 9681A	GJ 9681A	overlay-wins
1809456806859123584	HIP 99316 / HD 191499	gl		GJ 12927A	GJ 12927A	added
1817769836303393280	HIP 102226 / HD 197396	gl		GJ 12994	GJ 12994	added
1831553382794173824	HIP 101516 / HD 340611	gl		GJ 794	GJ 794	added
1847354223872439040	HIP 105791 / HD 204079	gl		GJ 13089	GJ 13089	added
1859954627138933888	HIP 102766 / HD 198425	gl		GJ 13013A	GJ 13013A	added
1889703529122914560	HIP 112909	gl	Gl 875.1	GJ 9799	GJ 9799	overlay-wins
1935133906477014016	HIP 114456 / HD 218868	gl		GJ 13330A	GJ 13330A	added
1937003729077791616	HIP 115331 / HD 220182	gl	Gl 894.4	GJ 9823	GJ 9823	overlay-wins
1937923436193950080	HIP 115341 / HD 220221	gl		GJ 13354	GJ 13354	added
1958031442283263616	HIP 109537	gl		GJ 13207	GJ 13207	added
1973094614149871872	HIP 107376	gl		GJ 13134	GJ 13134	added
2018474482692959232	HIP 96183 / HD 184385	gl		GJ 762.2A	GJ 762.2A	added
2032017717217569152	HIP 97223 / HD 332518	gl		GJ 12878	GJ 12878	added
2059103120983068160	HIP 99031 / HD 191026	gl		GJ 12918	GJ 12918	added
2061876742143320064	HIP 98921 / HD 190771	gl	GJ 1249	GJ 9685	GJ 9685	overlay-wins
2090051761936884864	HIP 91605	gl		GJ 12704	GJ 12704	added
2142179058450057856	HIP 96395 / HD 185414	gl		GJ 12850A	GJ 12850A	added
2216158427021654528	HIP 106400 / HD 205434	gl		GJ 13108	GJ 13108	added
2220169200616370432	HIP 109980	gl		GJ 854		suppressed-collision
2245095683274908672	HIP 102300	gl		GJ 12998	GJ 12998	added
225709641034907264	HIP 19255 / HD 25893	gl		GJ 160.1AB	GJ 160.1AB	added
2281114756485256704	HD 217142	gl		GJ 13301A	GJ 13301A	added
2282846074981010688	HIP 115147 / HD 220140	gl		GJ 13348A	GJ 13348A	added
2299942278201276288	HIP 112527 / HD 216520	gl		GJ 13281	GJ 13281	added
2324785228033780608	HIP 116763 / HD 222335	gl	Gl 902.1	GJ 9833	GJ 9833	overlay-wins
2334879397612667648	HIP 118261 / HD 224607	gl		GJ 13457	GJ 13457	added
2384877214983800448	HIP 114954	gl		GJ 13342	GJ 13342	added
2390021451933103616	HIP 117697	gl		GJ 13433	GJ 13433	added
2423493369021649920	HIP 1803 / HD 1835	gl	Gl 17.3	GJ 9012	GJ 9012	overlay-wins
2436812303124645504	HIP 115445 / HD 220339	gl	Gl 894.5	GJ 9824	GJ 9824	overlay-wins
244808226728958848	HIP 17491 / HD 23140	gl	Gl 150.2	GJ 9123	GJ 9123	overlay-wins
2456487788826106112	HIP 6008	gl		GJ 10187	GJ 10187	added
2477815222028038272	HIP 7576 / HD 10008	gl		GJ 10221A	GJ 10221A	added
2493069773336748928	HIP 10416 / HD 13789	gl		GJ 10318	GJ 10318	added
2498460442625153536	HIP 12530 / HD 16765	gl		GJ 10371A	GJ 10371A	added
2513664248895784192	HIP 10723 / HD 14214	gl		GJ 10327	GJ 10327	added
252151693092703872	HIP 18465	gl	Gl 156.1A	GJ 9138	GJ 9138	overlay-wins
2525514785221197696	HIP 3979 / HD 4915	gl		GJ 10137	GJ 10137	added
2525688198820543360	HIP 3757	gl		GJ 10127	GJ 10127	added
25488745411919360	HIP 12929 / HD 17230	gl	Gl 112.1	GJ 9100	GJ 9100	overlay-wins
2549518150551364864	HIP 3535 / HD 4256	gl	Gl 31.4	GJ 9027	GJ 9027	overlay-wins
2589107273595379584	HIP 7765 / HD 10182	gl		GJ 10234	GJ 10234	added
2619706544757416192	HIP 109378 / HD 210277	gl	Gl 848.4	GJ 9769	GJ 9769	overlay-wins
2648914040357320576	HIP 113421 / HD 217107	gl		GJ 13307	GJ 13307	added
2689454850844597504	HIP 105152 / HD 202751	gl	Gl 825.3	GJ 9731	GJ 9731	overlay-wins
2702655587447223168	HIP 110980	gl		GJ 13243	GJ 13243	added
2704912403783213696	HIP 111888 / HD 214683	gl		GJ 13263	GJ 13263	added
2742801956727994880	HIP 117463 / HD 223374	gl		GJ 13425	GJ 13425	added
2745473254589480960	HIP 118310 / HD 224660	gl		GJ 13461	GJ 13461	added
2781872793183604096	HIP 3810 / HD 4676	gl	Gl 34.1	GJ 9031	GJ 9031	overlay-wins
2832641058969396864	HIP 113829 / HD 217813	gl		GJ 2153	GJ 2153	added
2910909931633597312	HIP 28035	gl		GJ 10840	GJ 10840	added
2911981886751531648	HIP 29052	gl		GJ 10871	GJ 10871	added
2929062902976882304	HIP 34361	gl		GJ 2055	GJ 2055	added
2966316109264052096	HIP 27922 / HD 39855	gl		GJ 10835A	GJ 10835A	added
2996171698248699904	HIP 27288 / HD 38678	gl	Gl 217.1	GJ 9190	GJ 9190	overlay-wins
3007559370624135424	Gaia 3007559370624135424	gl	Gl 231.3	GJ 9211	GJ 9211	overlay-wins
3022956969731332096	Gaia 3022956969731332096	gl	Gl 223.2	GJ 9193	GJ 9193	overlay-wins
3027559353615045760	HIP 35943	gl		GJ 2058	GJ 2058	added
3054448838181163520	HIP 36827 / HD 60491	gl		GJ 11100	GJ 11100	added
3060788519149063680	HIP 36985	gl		GJ 282C		suppressed-collision
3082317193037072256	HIP 38625 / HD 64606	gl	Gl 292.2	GJ 9245	GJ 9245	overlay-wins
3089675232224086784	HIP 40774	gl		GJ 11209	GJ 11209	added
3177407910705445888	HIP 21086	gl		GJ 10624	GJ 10624	added
3223516063958808064	HIP 26081	gl	Gl 207.1	GJ 9183	GJ 9183	overlay-wins
3234412606443085824	HIP 25119 / HD 35112	gl		GJ 10761	GJ 10761	added
3250328209054347264	HIP 17695	gl		GJ 10525	GJ 10525	added
3270590765246119168	HIP 17743	gl	Gl 155.1	GJ 9133	GJ 9133	overlay-wins
3285218186904332288	HIP 19859 / HD 26923	gl		GJ 10584A	GJ 10584A	added
3285218255623808640	HIP 19855 / HD 26913	gl		GJ 10583B	GJ 10583B	added
335144892337326336	HIP 12623 / HD 16739	gl	Gl 105.6	GJ 9095	GJ 9095	overlay-wins
3379989457790428416	HIP 33537 / HD 51419	gl		GJ 11014	GJ 11014	added
3409167094776800384	HD 285190	gl		GJ 10722	GJ 10722	added
