gaia_source_id	hip	v_mag	v_via	g_mag	reason	designations
4824289721373824768	23596	6.320	hip	9.304	mag	HD 32846 · HR 1653 · gam Cae
3212019815194396288	23794	5.120	hip	11.120	mag	
156430817820015232	23873	10.200	hip	13.035	mag	HD 240764
3015004305204924032	25171	7.560	hip	9.215	mag	
3014667854647463168	25310	9.360	hip	10.547	mag	HD 35503
2968097043227107840	25606	2.810	hip	7.821	mag	HD 36079 · HR 1829 · bet Lep · 9 Lep
4660766641264343552	25647	6.880	hip	11.354	mag	GJ 10773B
3237714611659033728	25813	4.200	hip	5.820	mag	HD 36267 · HR 1839 · A Ori · 32 Ori
3217181025851988608	26016	8.600	hip	9.912	mag	HD 290609
3441298191795447936	26396	5.830	hip	6.545	sibling	HD 37098 · HR 1902
3236587028125068672	26402	7.740	hip	9.070	mag	HD 37234
3217391754127203200	26439	7.110	hip	8.790	mag	
3217804105348957696	26500	8.560	hip	8.453	sibling	
553533877577936512	26878	8.330	hip	9.505	mag	
3023174123275710848	26955	9.070	hip	13.502	mag	
3024587133158077056	28140	8.700	hip	9.752	mag	
5476506030272239744	28891	8.940	hip	10.006	mag	HD 42465
3121678992053904256	29899	9.760	hip	11.289	mag	HD 291456
5581506573215203968	30577	7.180	hip	7.580	sibling	HD 45424
3372159045217009920	30630	6.780	hip	10.396	mag	GJ 233B
3327295706629726336	31065	7.850	hip	10.212	mag	
3115721219581645952	33513	7.470	hip	9.076	mag	HD 51565
5578676949979904384	33543	7.620	hip	9.817	mag	
2949559723859043456	33560	9.140	hip	12.744	mag	GJ 11016B
3368235472332290176	34356	7.530	hip	9.050	mag	HD 53791 · HR 2671 · R Gem
3031308172869455744	35034	7.600	hip	9.698	mag	
866177431955017600	35550	3.500	hip	7.971	mag	GJ 271B
5611960163386111360	36520	7.680	hip	8.748	mag	
898506097466756352	36626	10.520	hip	12.269	mag	GJ 277C
892348694913501952	36850	1.580	hip	2.925	mag	HD 60179 · HR 2891 · GJ 278AB · alf Gem · 66 Gem
5586790692958361856	37322	5.730	hip	8.683	mag	HD 61878 · HR 2963 · d02 Pup
5593584059906793088	38423	5.010	hip	7.942	mag	GJ 292B
670216834655935872	38657	7.760	hip	16.470	mag	GJ 292.1B
3081235071736431872	39337	9.140	hip	10.639	mag	
902175030329924608	39896	9.900	hip	10.856	sibling	GJ 1108B
657244521593508992	40167	4.670	hip	5.932	mag	GJ 9257C
930501641021758720	40927	9.740	hip	9.992	sibling	
663434291018997248	41098	9.000	hip	9.632	sibling	HD 70492
662732115405773824	41824	11.900	hip	12.931	mag	GJ 2069D
662732115407952768	41824	11.900	hip	12.278	sibling	GJ 2069BC
5321120646149515520	41861	5.680	hip	6.940	mag	HD 72737/72738 · HR 3386
599724051820474368	42159	9.670	hip	13.408	mag	
598180818531355776	42748	9.620	hip	12.000	mag	GJ 319B
5652380066245693440	42955	9.120	hip	10.278	mag	
5757113256075639424	43496	5.550	hip	7.353	mag	
596878550087942400	43557	6.570	hip	12.199	mag	GJ 11279B
5304828392095453056	44542	6.810	hip	8.532	mag	
3837451578445470464	45621	7.780	hip	13.704	mag	
5423525478362753024	45789	9.300	hip	11.284	mag	
5250535985367522432	46806	7.430	hip	10.870	mag	HD 82901 · HR 3816 · R Car
618835827358810752	47233	8.650	hip	9.706	mag	HD 83289
5249727019708013056	48470	8.970	hip	15.426	mag	
5408307073500948992	49485	5.060	hip	6.948	mag	HD 87783 · HR 3976
5415633944112751360	50912	7.630	hip	8.992	mag	HD 90201
1072143859943720320	51159	8.880	hip	10.006	mag	
1146337324038513536	51502	5.250	hip	12.748	mag	GJ 11499B
5352404397648913152	51662	7.320	hip	7.866	sibling	HD 91593
5251822139120626432	51797	8.110	hip	8.355	sibling	HD 307860
3776610892796456192	52143	8.650	hip	9.685	mag	
3554395813252626048	52621	11.030	hip	15.441	mag	GJ 401B
5457514307648815488	52910	7.410	hip	8.640	mag	
5456139226626605568	53161	9.270	hip	10.410	mag	HD 94281
3804598892562119808	53978	7.550	hip	12.724	mag	
5235287717619415168	54980	9.310	hip	18.937	mag	
5339154595392400640	55149	6.700	hip	7.827	mag	HD 98278
3545469496823737984	55454	8.570	hip	10.181	mag	GJ 425B
4018973595207763456	56601	5.800	hip	6.584	sibling	HD 100808 · HR 4465
5384905720851582848	56925	7.550	hip	14.020	mag	HD 101452
3542490095189650560	57361	11.790	hip	15.504	mag	GJ 11672B
3574538831915327104	58579	7.960	hip	9.660	mag	HD 104324
3601526757133738880	58791	7.860	hip	8.552	sibling	
4029714037104862976	59054	9.610	hip	13.237	mag	
6057851023691297280	59583	8.070	hip	13.297	mag	HD 106169
1572620559106355584	60159	8.610	hip	13.470	mag	HD 107322
3949357638538955264	61584	7.670	hip	8.844	mag	HD 109782
3528976341368900096	61910	5.170	hip	5.752	sibling	HD 110317 · HR 4821
3961545553132910336	62779	11.270	hip	12.279	mag	
3525007929026463744	63257	9.110	hip	11.738	mag	GJ 11874B
6081295738309765248	63307	7.470	hip	9.633	mag	HD 112581
3622436650795434624	63400	9.380	hip	11.422	mag	
1728599752523828864	63762	8.770	hip	12.895	mag	GJ 11889
5845504920016168576	64986	9.060	hip	9.549	sibling	HD 115498
1473661385871533568	65182	11.710	hip	13.268	mag	
1500988304272245376	66464	8.410	hip	18.972	mag	
5865694736636775936	66814	9.140	hip	20.902	mag	HD 118924
6112257264193158784	66984	5.960	hip	9.058	mag	HD 119361 · HR 5157
6115372730392935168	67941	8.880	hip	17.945	mag	
1253489886124651136	68887	9.750	hip	13.040	mag	
1260832699653515904	69401	7.780	hip	9.686	mag	
6269097199121102848	69579	8.560	hip	9.560	mag	
6269883697827531520	69894	8.320	hip	9.487	mag	HD 125131
5849469724599671808	70140	8.120	hip	18.978	mag	HD 125291
5892698020664009728	70340	9.010	hip	17.988	mag	HD 125765
6283043340184163200	70513	6.980	hip	7.345	sibling	HD 126366
5892664932235520384	71112	7.380	hip	12.991	mag	HD 127296
5877748442128924544	71681	1.350	hip	20.949	mag	HD 128621 · HR 5460 · alf Cen
6223456372670070656	71686	9.790	hip	9.629	sibling	
5849837820492182272	71908	3.180	hip	8.011	mag	GJ 560B
6337717243069148032	71957	3.870	hip	13.979	mag	GJ 12120B
1173302640550747008	72527	6.960	hip	7.989	mag	
5798794814190081024	72589	8.280	hip	9.485	mag	HD 130141
5906094470304958208	72821	8.150	hip	19.750	mag	HD 131078
6332354443824271360	73255	9.840	hip	10.482	sibling	HD 132229
1586968533013974528	73470	9.150	hip	11.717	mag	GJ 12153B
6224633983987511552	73674	7.660	hip	8.270	sibling	HD 133131
6007066643173492224	74570	7.060	hip	8.385	mag	HD 134990
5902877333668266112	74876	6.980	hip	12.806	mag	
5999934970231479936	74919	8.360	hip	9.698	mag	HD 135768
1393959540320872576	75103	8.420	hip	9.739	mag	HD 136752
1271906396652582784	75602	9.010	hip	9.794	sibling	HD 137739
1191136439979956864	76985	6.480	hip	7.801	mag	HD 140438 · HR 5850
4423865487962417152	77052	5.860	hip	11.234	mag	HD 140538 · HR 5853 · psi Ser · 23 Ser
1224565824009709312	77442	5.890	hip	8.835	mag	HD 141527 · HR 5880 · R CrB
6260730916367585152	77744	9.150	hip	9.736	sibling	
1206148209672477056	78272	8.490	hip	9.179	sibling	
5985256936695918720	78408	7.520	hip	19.610	mag	HD 143120
6036120928708232448	78734	10.080	hip	15.977	mag	GJ 12311B
6035277122238959104	78973	7.940	hip	14.619	mag	HD 144455
5935623366916545920	79940	7.280	hip	17.536	mag	
5932241509774006656	80221	8.310	hip	21.045	mag	HD 147127
6050232404523729280	80238	7.540	hip	9.086	mag	
4432032213658420992	80883	3.820	hip	5.189	mag	HD 148857 · HR 6149 · lam Oph · 10 Oph
5944534461969395968	80943	7.760	hip	14.545	mag	HD 148689
5816345768540818304	81689	8.260	hip	13.002	mag	
5940212247391350144	82193	7.410	hip	8.634	mag	
6026152137815012096	82396	2.290	hip	12.185	mag	GJ 12409B
6029327802356441856	83042	9.770	hip	11.096	mag	
5924230948960952576	83776	8.490	hip	15.313	mag	
5965924361166271104	83846	8.300	hip	12.932	mag	GJ 12447B
1341225274729847424	84102	8.800	hip	10.449	mag	
4364702279101281024	84212	11.610	hip	17.352	mag	GJ 660.1B
5974018828340131456	84404	8.920	hip	20.572	mag	HD 155807
4109030160308317312	84405	4.330	hip	4.829	sibling	HD 155885 · HR 6401 · GJ 663B · A Oph · 36 Oph
5975663354131618304	84709	5.910	hip	9.386	mag	GJ 667C
5922711561333244928	84760	7.230	hip	13.658	mag	HD 156241
4115142276679903360	84893	4.390	hip	9.392	mag	GJ 670B
5975336558656426240	85291	8.180	hip	12.354	mag	
5925209514333720832	85647	9.580	hip	11.961	mag	GJ 676B
4595342881890087552	85732	8.000	hip	13.508	mag	HD 159027
4556066746008264192	86722	7.510	hip	14.898	mag	GJ 692.1B
4594497834189213184	86974	3.420	hip	9.185	mag	GJ 695B
4594497838483177984	86974	3.420	hip	9.586	mag	GJ 695C
4500935854303885952	87427	6.430	hip	6.918	sibling	
2161524278344040448	88451	7.660	hip	11.702	mag	
4468557611977674496	88601	4.030	hip	5.539	mag	GJ 702B
4095362921479872384	88762	10.310	hip	10.460	sibling	HD 312644
4096449891873764480	90055	9.350	hip	19.805	mag	
2145517622428619648	91436	6.920	hip	7.588	sibling	HD 172712
4587744672430944512	91635	6.910	hip	8.699	mag	
6704579021488171008	91732	6.600	hip	10.171	mag	
4530814090658118656	92400	11.290	hip	12.818	mag	HD 349423
2146689530022045568	93048	8.800	hip	13.630	mag	
6731199293213061632	93449	11.570	hip	13.602	mag	
4506553985085548928	93461	7.370	hip	9.958	mag	
6714057120952340864	94157	5.860	hip	11.893	mag	HD 178322 · HR 7257
4513495786115703040	94377	6.730	hip	7.925	mag	HD 179588 · HR 7285
4520064131134783104	94426	8.490	hip	10.608	mag	HD 179783
4263841431792159488	94449	9.180	hip	19.547	mag	
4185118873156482048	94657	7.780	hip	14.769	mag	
2043204114103064448	94737	12.250	hip	12.466	sibling	
4516557925985373568	94961	11.500	hip	11.574	sibling	
4201307051566731648	95015	8.590	hip	18.469	mag	
6640325795338902400	95404	7.490	hip	11.699	mag	HD 181703
4315804282633172352	95447	5.170	hip	19.742	mag	
6663718622479247744	95676	9.530	hip	10.664	mag	HD 182610
4295139648778872576	96142	9.410	hip	21.280	mag	
2142179058447029760	96395	6.730	hip	12.408	mag	GJ 12849B
2032917942335010560	96858	7.090	hip	9.153	mag	HD 186098
2035020964491479552	97222	7.680	hip	8.023	sibling	HD 186858 · GJ 765.4A
4304475705055179776	97489	6.530	hip	12.710	mag	HD 187284
2031885294771105792	97603	8.340	hip	13.324	mag	
1834330130692307200	98397	8.310	hip	13.856	mag	
6449050801200435456	98457	9.070	hip	10.470	mag	
6686032081390962304	98739	7.590	hip	9.020	mag	HD 189719
2247917236268633088	99027	8.650	hip	13.524	mag	
2302434351372652928	99232	7.130	hip	12.436	mag	HD 195146
2187996395172979712	99561	7.980	hip	13.329	mag	HD 192492
4242615669046560896	99948	8.590	hip	13.775	mag	
1864258527954658688	101642	9.020	hip	14.487	mag	HD 196439
1810448909928688640	101769	3.640	hip	14.020	mag	HD 196524 · HR 7882 · bet Del · 6 Del
2064603324789659008	101949	6.070	hip	6.774	sibling	
6792436799475128960	102141	10.270	hip	9.576	sibling	GJ 799A
6792436799477051904	102141	10.270	hip	9.605	sibling	GJ 799B
6795261758382371840	102264	6.950	hip	15.047	mag	GJ 12995B
1761317885676619520	102380	7.570	hip	17.238	mag	
6480764633558584704	102396	7.270	hip	8.022	sibling	HD 197322
1869302674999983104	102488	2.480	hip	12.206	mag	GJ 9707B
2166458439877552384	102827	6.330	hip	11.211	mag	HD 198625 · HR 7983
6913810483611035776	103393	11.870	hip	16.347	mag	GJ 812B
1731592451377571712	103571	5.240	hip	7.217	mag	
1844374616077813120	103943	9.480	hip	18.244	mag	
1757475711010044544	104066	9.050	hip	10.674	mag	
6371557530914670848	104440	5.670	hip	11.282	mag	GJ 818.1C
2165256123887648512	104537	6.460	hip	9.084	mag	HD 201836 · HR 8107
6583524543613155968	104833	8.120	hip	9.350	mag	
1964791549008457856	104887	3.740	hip	11.001	mag	GJ 822.1C
6348905254920055680	105073	7.470	hip	8.724	mag	HD 201230
6465381778690957952	106150	7.730	hip	18.105	mag	HD 204396
2699045620191095040	106290	11.330	hip	12.970	mag	
1966167141131530368	106390	7.270	hip	13.552	mag	HD 205237
1786163653005351168	106607	7.940	hip	13.023	mag	
1961007064346581120	108675	7.650	hip	9.434	mag	
1892761305317873152	108700	7.330	hip	11.770	mag	
6826564991861746688	108797	6.390	hip	7.101	sibling	HD 209278 · HR 8396 · 29 Aqr
1962740066464303744	108845	5.570	hip	7.759	mag	
2284342716462926976	109377	8.990	hip	10.073	mag	
6511963894471305600	110145	10.540	hip	11.063	sibling	
6622318573720116864	110922	11.970	hip	12.272	sibling	GJ 13241
2709041035584995456	111034	10.520	hip	10.591	sibling	
1909452269789190272	111172	9.660	hip	9.942	sibling	
1933243090068567808	111429	7.020	hip	10.938	mag	
6517719837840586752	111445	8.730	hip	12.214	mag	
1908305165624662272	111685	9.410	hip	17.946	mag	GJ 13259
6517544603176106880	111794	8.420	hip	19.043	mag	HD 214389
2400808245117576704	111802	9.060	hip	10.212	mag	GJ 867B
6608821076351265024	111882	7.110	hip	7.356	sibling	HD 214600
6554467200068115584	113961	10.030	hip	14.701	mag	HD 217960
2818341978970029056	114469	11.700	hip	11.552	sibling	
6350952476849650432	114859	9.960	hip	11.654	mag	GJ 4317B
2014971816586222208	114929	9.060	hip	9.915	sibling	
6492406743706909568	114996	3.990	hip	12.405	mag	GJ 13343B
