tyc	hip	hd	gl	gaia_source_id	reason
			GJ 12586		no_v_magnitude
			GJ 12594B		no_v_magnitude
			GJ 12599	4062783361232757632	no_v_magnitude
			GJ 12600	4145132555890838784	no_v_magnitude
			GJ 12609		no_v_magnitude
			GJ 12620		no_v_magnitude
			GJ 12625		no_v_magnitude
			GJ 12630		no_v_magnitude
			GJ 12634B	6364795328244240256	no_v_magnitude
			GJ 12635		no_v_magnitude
			GJ 12637		no_v_magnitude
			GJ 12639		no_v_magnitude
			GJ 12640	4094032443707053568	no_v_magnitude
			GJ 12649		no_v_magnitude
			GJ 12655B	4586421272742268544	no_v_magnitude
			GJ 12662	4588438567346043776	no_v_magnitude
			GJ 12668		no_v_magnitude
			GJ 12669		no_v_magnitude
			GJ 12673	4276948538120524288	no_v_magnitude
			GJ 12677	4159791176135290752	no_v_magnitude
			GJ 12682B		no_v_magnitude
			GJ 12692	2091177593123254016	no_v_magnitude
			GJ 12695	4283084190940885888	no_v_magnitude
			GJ 12706	4155202364362108544	no_v_magnitude
			GJ 12708		no_v_magnitude
			GJ 12724	6439125097427143808	no_v_magnitude
			GJ 12747		no_v_magnitude
			GJ 12772		no_v_magnitude
			GJ 12773		no_v_magnitude
			GJ 12782		no_v_magnitude
			GJ 12805C	6644846849713646208	no_v_magnitude
			GJ 12809		no_v_magnitude
			GJ 12825	4308488780772030336	no_v_magnitude
			GJ 12828		no_v_magnitude
			GJ 12839		no_v_magnitude
			GJ 12843B	1825387390333255808	no_v_magnitude
			GJ 12846B	2018474482692940288	no_v_magnitude
			GJ 12847		no_v_magnitude
			GJ 12854		no_v_magnitude
			GJ 12864C	2135550755684554112	no_v_magnitude
			GJ 12896		no_v_magnitude
			GJ 12897	2034222547258288000	no_v_magnitude
			GJ 12902		no_v_magnitude
			GJ 12904B	2059314708223067904	no_v_magnitude
			GJ 12908		no_v_magnitude
			GJ 12924		no_v_magnitude
			GJ 12931B	4250327781042868224	no_v_magnitude
			GJ 12935		no_v_magnitude
			GJ 12936		no_v_magnitude
			GJ 12941		no_v_magnitude
			GJ 12945		no_v_magnitude
			GJ 12949		no_v_magnitude
			GJ 12950		no_v_magnitude
			GJ 12951		no_v_magnitude
			GJ 12975	6476114936322488960	refused_no_defensible_parallax
			GJ 13000		no_v_magnitude
			GJ 13003B	6450595924275742848	no_v_magnitude
			GJ 13008		no_v_magnitude
			GJ 13009		no_v_magnitude
			GJ 13033		no_v_magnitude
			GJ 13046		no_v_magnitude
			GJ 13048B	2163558855915069824	no_v_magnitude
			GJ 13057B	6476864837613433472	no_v_magnitude
			GJ 13067		no_v_magnitude
			GJ 13071		no_v_magnitude
			GJ 13075		no_v_magnitude
			GJ 13084		no_v_magnitude
			GJ 13086		no_v_magnitude
			GJ 13092	1798588409277193984	no_v_magnitude
			GJ 13106		no_v_magnitude
			GJ 13107		no_v_magnitude
			GJ 13111		no_v_magnitude
			GJ 13124		no_v_magnitude
			GJ 13128	6558741070485093632	no_v_magnitude
			GJ 13141		no_v_magnitude
			GJ 13144		no_v_magnitude
			GJ 13151B	2617720998555821312	no_v_magnitude
			GJ 13153		no_v_magnitude
			GJ 13156B		no_v_magnitude
			GJ 13159		no_v_magnitude
			GJ 13166		no_v_magnitude
			GJ 13167		no_v_magnitude
			GJ 13173B	2617043665033973376	no_v_magnitude
			GJ 13176		no_v_magnitude
